feature,label
P T P E P S T A P S T S F L L P M G P S P P A E G S T G D F A L P V G L I V G V T A L G L L I I G V V N C V I M T Q V K K K P L C L Q R E A K V P H L P A D K A R,0
Q S Q P D S P S A Q L A L I A A S Q N F L Q P G G K M V A A A K A T V P T I T D Q A S A M Q L S Q C A K N L A A A L A E L R T A A Q K A Q E A C G P L E I D S A L,0
S N A Q A Q Q R Y D D Q H A R R Q E E L Q L S S G I G Y G L S S A L I A A G G I G A G V T T A L H R R N Q P T E Q T T T T T H T V V Q Q Q T G G N T P A Q G G T D,0
D K P P K R K K A D T E G K S P S H S S S N R P F T P P T S T G G S K S P G S A G R S Q T P P G V A T P P I P K I T I Q I P K G T V M V G K P S S H S Q Y T S S G,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X M G A A S M T L T V Q A R Q L L S G I V Q Q Q N N L L R A I E A Q Q H L L Q L T V W G I K,0
I A R S H S E S P S R L P V N R A G T W K R E H S K H S S S L P R V S T W R R T G S S S S I L S A S S E S S E K A K S E D E K H V N S V P G P R Q M K E N Q V P T,0
D F R D A R A A F R D T L R Q W R D N A G K P D R D A W L T A R E D Y R Q S L K E I F T P A Q V A V L D D M L P A L H K A P R H A M X X X X X X X X X X X X X X X,0
P V P C A S A S V P H L T D S S P V A V T V T A A S L S F P P A Q T P V A H S A A A C R G Q H S P Q R Q C E K R A S W H S K P R T G R L L P D P Q T H Q S I F R D,0
X X X X X X K E S A A A K F E R Q H I D S S T S S V S S S N Y C N E M M T S R N L T Q D R C K P V N T F V H E S L A D V Q A V C S Q K N V A C K N G Q T N C Y Q S,0
L D S S R H D D S I C R S D N F S I G N L T V L S P Y I N T T V L P G S S S P R P T M D G S R P E K D R E R T A G L G N Y H S T T E S S G N S S K R I G I Q L S T,0
S K H S S S L P R V S T W R R T G S S S S I L S A S S E S S E K A K S E D E K H V N S I S G T K Q S K E N Q V S A K G T W R K I K E N E F S P T N S T S Q T V S S,0
N L Q N G E E D E V A L F S Q K A K L M T F N A E T K S Y D S R G V G E M K L L K K K D D P S K V R L L C R S D G M G N V L L N A T V V D S F K Y E P L A P G N D,0
S C L T I P T S A Y E V R N A S G M Y H V T N D C S N S S I V Y E A A D M I M H T P G C V P C V R E N N S S R C W V A L T P T L A A R N A S V P T T T I R R H V D,0
Q N A K N G N L P E F G D A I S T A S K A L C G F T E A A A Q A A Y L V G V S D P N S Q A G Q Q G L V E P T Q F A R A N Q A I Q M A C Q S L G E P G C T Q A Q V L,0
P V K E E R G D L I K F Y N T I Y V G R V K S F A L K Y D L A N Q D H M M D A P P L S P F P H I K Q Q P G S P R R I S Q Q H S I Y I S P H K N G S G L T P R S A L,0
C R R R N G Y R A L M D K S L H V G T Q C A L T R R C P Q E G F D H R D S K V S L Q E K N C E P V V P N A P P A Y E K L S A E Q S P P P Y S P X X X X X X X X X X,0
G V E R M G A G M G F G L E R M A A P I D R V G Q T I E R M G S G V E R M G P A I E R M G L S M E R M V P A G M G A G L E R M G P V M D R M A T G L E R M G A N N,0
E S K H E I H S Q V D A I T A G T A S M V N L T A G D P A E T D Y T A V G C A V T T I S S N L T E M S K G V K L L A A L M E D E G G N G Q Q L L G A A K N L A C A,0
T N P K P Q R K T K R N T N R R P Q D V K F P G G G Q I V G G V Y L L P R R G P R L G V R A T R K T S E R S Q P R G R R Q P I P K A R R P E G R T W A Q P G Y P W,0
T T T P T N T F P G G P I T T L F N M S M S I K D R H E S V G H G E D F S K V S Q N P I L T S L L Q I T G N G G S T I G S S P T P P H H T P P P V S S M A G N T K,0
S T K A V S S A I A Q L L G E V A Q G N E N Y A G I A A R D V A G G L R S L A Q A A R G V A A L T S D P A V Q A I V L D T A S D V L D K A S S L I E E A K K A A G,0
Y I V S H I G G V S N E D R Q Y L V E K P W V S D K Y F W E K I V I F M A F S S W K V L Y L T E K N V H F F L W T L R N F L K R R A M K I L K K A R S G Q L Q V S,0
K D N D I L V H P E D D W F P P V Q V G G D P K R N L I A S D V G G D G D V D A V I A D C D E V L E N R Y H M R A F N Q A M M E T F R T Y T H L D R Y G R L H V I,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X A H F P G F G Q S L L F G Y P V Y V F G D C V Q G D W C P I S G G L C S A R L H R H,0
W F A D P I D L A D A R E L V T D T R Q F L A D V P A H T S F T N A Q L L E I M M A Q D F Q D L T G Q V I K R M M D V I Q E I E R Q L L M V L L E N I P E Q E S R,0
A K N K K L H Q L R Q N I E H R L A L L A Q Q H T S G E A L S L G Q K L L N T E V S S F I K N N I L A E L K L S N E T V S S L K L D D L V D A Q A K L A F D S L R,0
R V D K V L N E K C S V Y T V E S G T E V T E F A C V V A E A V V K T L Q P V S D L L T N M G I D L D E W S V A T F Y L F D D A G E E N F S S R M Y C S F Y P P D,0
K M P C P A C Q D P E I G P E H S V A D Y H N H S N I E T R L R K G G R T R C F G G C V F A Y V G C Y N K R A Y W V P R A S A D I G S G H T G I T G D N V E T L N,0
X X X X X X X X X X X X X X X X X X X X X M R K I I H V D M D C F F A A V E M R D N P A L R D I P I A I G G S R E R R G V I S T A N Y P A R K F G V R S A M P T G,0
H A V A V Q S P M F L L C L T G N P L R E E D R L G N H A S D I C G G S E L D A V K T D S S L P S P S S L W S A S H P S S S K K M D G Y I L S L V Q K K T H P V R,0
D G S Q Q A L D L K G L R S D P D L V A Q N I D V V L N R R S C M A A T L R I I E E N I P E L L S L N L S N N R L Y R L D D M S S I V Q K A P N L K I L N L S G N,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X M P L N V S F T N R N Y D L D Y D S V Q P Y F Y C D E E E N F Y Q Q Q Q Q S E L Q P P,0
T S R G L V I T P P G P E F V L N I S S T F V L T C S G S A P V M W E Q M S Q V P W Q E A A M N Q D G T F S S V L T L T N V T G G D T G E Y F C V Y N N S L G P E,0
E A R M K I L A K L D P D N H G G R Q P K D V D T R S V G V G S A S G I D D G V V S E T H T S T T N S S V R S D P K F W V S V G A I A A G L A G L A A T G I A Q A,0
D L V N A I K A D A E G E S D L E N S R K L L S A A K I L A D A T A K M V E A A K G A A A H P D S E E Q Q Q R L R E A A E G L R M A T N A A A Q N A I K K K L V Q,0
P Q R K T K R N T N R R P Q D V K F P G G G Q I V G G V Y L L P R R G P R L G V R A T R K T S E R S Q P R G R R Q P I P K A R R P E G R T W A Q P G Y P W P L Y G,0
E F L L D F Q F M P A C I Q K P E G L P P I S D V V L D K I N Q P K L P M R T L D P R I L P R G P D F T P A F A D F G R Q T P G G R G V P V S A S S L Q L T X X X,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X M A P V A V W A A L A V G L E L W A A A H A L P A Q V A F T P Y A P E P G S T C R L R E Y Y D Q,0
E Q S E L Y A Q L S K T S A L G G G H E E R K A R R P S L R L F G D H D Y C Q S I N S K A E I L I N I S Q E L H D S R Q L D S K D A A S D W Q R Q M C S S T D S D,0
L E N V I R D A V T Y T E H A R R K T V T A M D V V Y A L K R Q G R T L Y G F G G X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,0
P I P K A R Q P E G R A W A Q P G Y P W P L Y G N E G M G W A G W L L S P R G S R P S W G P T D P R R R S R N L G K V I D T L T C G F A D L M G Y I P L V G A P L,0
S V L T T P S K I E P M K A F D S R F T E R S K A T P G A P A L T S M T P T A V E R L K E Q N L V K E L R P R D L L E S S S D S D E K V P L A K A S S L S K R K L,0
T E G S M E L D E A G D V I G V L R D Q Q R Y H E D I F G L T L R T Q E V T S R I R T Q S F S L Q E R Q L R G A V P W S F D P P T Q E T P G S X X X X X X X X X X,0
L L S D P L L R P S P L L A A G Q P G G S E D L S K D R S L T G K L E P V S P P S P P H V D P E L E L V P P R L S K E E L I Q N M D R V D R E I T M V E Q Q I S K,0
C S N T K F A D D L N Q M T G F T K P A S R E L S V T F F P D L N G D V V A I D Y R H Y S A S F K K G A K L L H K P I V W H I N Q A T T K T T F K P N T W C L R C,0
T T P E P T S E P A P S P T T P E P T S E P A P S P T T P E P T P I P T I A T S P T I L V S A T S L I T P K S T F L T T T K P V S L L E S T K K T I P E L D Q P P,0
V G E D A K A A A R D I F S P K R S W K R Q R Y R L S T Q A E S L Q L L P R L T H V H R R K M F Q A T I L S V E N L Q S S K S T R A T I L V R L D T G S Q E G L Q,0
A E D P E T Q V V L I N A V K D V A K A L G D L I S A T K A A A G K V G D D P A V W Q L K N S A K V M V T N V T S L L K T V K A V E D E A T K G T R A L E A T T E,0
K P R S Q M E T D F L E L A M D E F I Q R Y K L E G Y A F E H I V Y G D F S H G Q L G G L H L M I G L A K R S Q D S P L K L E D F I P M D S T V K N Y F I T D A Q,0
X X X X X X X M L L D K N I P I P H I K L I D F G L A H E I E D G V E F K N I F G T P E F V A P E I V N Y E P L G L E A D M W S I G V I T Y I L L S G A S P F L G,0
I G T K E G I L Q Y C Q D V Y P E L Q I T N V V E A N Q P V T I Q N W C K R G R K Q C K S R T H I V V P Y R C L V G E F V S D A L L V P D K C K F L H Q E R M D I,0
S N P P S S P T E E A Q P S T S T S T Q A P A A S P T G V V P G T K Y A V P D T S T Y Q Y D E S S G Y Y Y D P T T G L Y Y D P N S Q Y Y Y N S L T Q Q Y L Y W D G,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X M S S S E E V S W I S W F C G L R G N E F F C E V D E D Y I Q D K F N L T G L N E Q V,0
R Y G I E T R M A A L T L S T L R P D I N R L K A L I E L Y L S K G P R A P F I C I L R D P V H G E F A P G N Y P A L W S Y A M G V A V V Q N K A M Q Q Y V T G R,0
H P M L M N L L K D N P A Q D F S T L Y G S S P L E R Q N S S S G S P R M E I C S G S N K T K K K E S S R L P P E K P K H Q T E D D F Q R E L F S M D V D S Q N P,0
L A R R L E N A G T L K V L F G T P E F V A P E V I N Y E A I G Y A T D M W S I G V I C Y I L L S G L S P F M G D N D N E T L S N V T S A T W D F E D E A F D E I,0
V S S K K T W F N E L T I S K I A Y G V L N G L D H L Y R Q Y K I I H R D I K P S N V L I N S K G Q I K L C D F G V S K K L I N S I A D T F V G T S T Y M S P E R,0
S V L L G N S R G S K E A R A S G S A A L D N I I H S Q P D D K R G R R E I R V L H L L E Q I R A Y C E T C W E W Q E A H E Q G M D Q D K N P M P A P V D H Q I C,0
K T M D V S K V K L K K T K K R E A D L L N N A V S N E K M E N E Q T K T K G D V S G K K N E K P V K A V G K D A S K E K K P G S S V S V V Q V T T R T R K S A V,0
E C F V K R V D W S V E Y P I I G D E L R V N S A C R K V Q H M V V K S A L L A D K F P V L H D I G N P K A I K C V P Q A E V E W K F Y D A Q P C S D K A Y K I E,0
K P T L H G P T P L L Y R L G A V Q N E T T L T H P I T K Y I M A C M S A D L E V V T S T W V L V G G V L A A L A A Y C L T T G S V V I V G R I V L S G K P A I I,0
G M E Y L G T K R Y I H R D L A T R N I L V E N E N R V K I G D F G L T K V L P Q D K E Y Y K V K E P G E S P I F W Y A P E S L T E S K F S V A S D V W S F G V V,0
P E P D D P T T T D P D Q A A N A A E S A T K D Q L T Q E A F K N P E N Q K V N I D A N G N A I P S G E L K D D I V E Q I A Q Q A K E A G E V A R Q Q A V E S N A,0
E W K P K Q I D N P D Y K G K W V H P E I D N P E Y T P D S N L Y K Y D D I G A V G F D L W Q V K S G T I F D N I L V T D D E K H A E E V G K A T W G A T K D P E,0
E D D M S D G L P F L K T D P N N N G F F G D G S L L C I L R S I G F K P E N Y T N S N V N R L P T M I T D R Y T L A S R S T T S R L L Q S Y L N N F H P Y C P I,0
A S G S H T A S P A P L T A P H P A T I V A K S T P Q L D K E V S L R T L A A Q N S Q R K R K L G D I R E I I G Q E T L P Q E Q V E Q G K K L K A S K S A T T R T,0
L G R K G V D D G V L L L V A K D N S A A S G R L R I E T G R G V Q G V L T D A Q S K R V L Q D V I A P H F R Q G D F Y G G L A S G V S V I T S L L D K E A F P E,0
E L H Q F T F D L L I K S H M V S V D F P E M M A E I I S V Q V P K I L S G K V K P I Y F H T Q X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,0
L R D S L R E L G L D Q A I A E A A E A I P D A R D R L D Y V V Q M T A Q A A E R A L N S V E A S Q P H Q D E M E K G A K A L T K R W D E W F E N P I E L A D A R,0
I K A Y A S E E H H G E Q P I D Y S R K Y S T D V P S S A Q K P S F P Y S N N S S K Q K P K K E Q V S S N S N T P T P S P N S N R Q N Q L H P N S A Q S R P G L N,0
L P H I S Y N N S N G S A I K N I V G S A T I A Q Y P T L P E E N V N N I S V K Y V S P G S V G P S P V P L K S G A S F S D L V K L L S N R P P S R N S P V T I P,0
X X X X X X X X X X X X X X X X X X X X X X X X X X M K L L K P S W V S H N G K P I F S V D I H P D G S K F A T G G Q G E D S G K V V I W N M A P V L R E E D E K,0
S R K P D L R V V I P P S S K G M M P P L N A Q R V T S S Q A T Q P L A T P V V S V A T P S L R P Q G L I Y S A M P T A Y N T D Y P L T S A D L S V L Q G F N S P,0
T L W G G S V V C M Y L Y Q L S P P I T W P L L P H V I F C H P G Q L G A F L T N V P Y K R I E E L L Y K I S L T T G A L I I L P E D C L P T T L F Q P A R A P V,0
G N D G Q P G P A G P P G P V G P A G G P G F P G A P G A K G E A G P T G A R G P E G A Q G P R G E P G T P G S P G P A G A S G N P G T D G I P G A K G S A G A P,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X M T L W I L L L L S L Y P G F T S Q K S D D D Y E D Y A S N K T W V L T P K V P E G D V T V I L N N L,0
N C W L N T I L Q L F R Y V D E P F F D W V Y N S P E N L T L E A I K Q L E E L T G L E L H E G G P P A L V I W N I K H L L H T G I G T A S R P S E V C M V D G T,0
L Q L L L G N S S K G K N E K K E K T P A R D E A P Q E H S E R A A N E Q I L M V K I K S E P C D D F Q T H N T N L P L N H D A K S A P F L G V T P A I H R S T A,0
E Y F D G Y E N Q F S V I M D D L G Q N P D G E D F T V F C Q M V S S T N F L P N M A H L E R K G T P F T S S F I V A T T N L P K F R P V T V A H Y P A V D R R I,0
R K S A P A T G G V K K P H R Y R P G T V A L R E I R R Y Q K S T E L L I R K L P F Q R L V R E I A Q D F K T D L R F Q S S A V M A L Q E A S E A Y L V G L F E D,0
T G M R N V P E K Q T R G L F G A I A G F I E N G W E G M I D G W Y G F R H Q N S E G T G Q A A D L K S T Q A A I D Q I N G K L N R V I E K T N E K F H Q I E K E,0
N L L R S G A D D P E M A E I A E E C K Q E C Y D L F V Q A A Q Q E K D W A D Y L F R D G S M I G L N K D I L C Q Y V E Y I T N I R M Q A V G L D L P F Q T R S N,0
K D I S W R Q L E A G M L I P P F I P D S R T V Y A K N I Q D V G A F S T V K G V V F D K A D T E F F Q E F A S G N C S I P W Q E E M I E T G L F G D L N V W R A,0
K H K H A F L C L F L L P S L A T V A Y F N M V Y M P A S W V M R I M T W L E L A D T S L S G Y R L K D C V M Y A S A L V L L I L M T A R T V Y D D A A R R V W T,0
F A I C L T W R I E D P P F N S L L F A L L A A A G G L Q G I Y V L V M L V L L I L A Y R R R W R R L T V C G G I M F L A C V L V L I V D A V L Q L S P L L G A V,0
L S A T P S T S R L A S T Q L Q H T G S S Q L P P Q Q F S Q P I N S L P K G G V P I L I V G N K T K V N H E N D E S D Q A L Q E E K I E E G L L K N Y Y S S L I D,0
E D K M P L E D E A E S P Q A L S E Q N A E A G A A L S P L P E V P P W T G E V S P A Q R D G G A L G R S P W D S S D R S A L L K S K L R A L L A A P R S L R R S,0
F K I S T P T K S Y V S L E Q K P L P N L S A M N N F N D V T D N K E K E E T N N N I L K F Q A Q R D P L Q I L Q S E I E M H T K K L D T I I E L L K D D T D S K,0
P V K L P E N Q T R V A F F Y D R A V P I G M L R P G Q N M E T T F N Y Q E N D Y R L N C L L L T P L P S F C P D S S S G P Q K T K A P V Q W R W V R S G G V N G,0
Y P G K G C P T L G D E G D T D L Y D Y Y P E E D T E G D K V R A T R T V V K F P T K A H T T P W G L F Y S W S T A S L D S Q M P S S L H P T Q E S T K E Q T T F,0
M L F S L K Y L G M T L V E Q P K G E E L S A A A I K R I V A T A K A S G K K L Q K V T L K V S P R G I I L T D N L T N Q L I E N V S I Y R I S Y C T A D K M H D,0
F D S V I D C N T C V T Q T V D F S L D P T F T I E T T T V P Q D A V S R S Q R R G R T G R G R R G I Y R F V T P G E R P S G M F D S S V L C E C Y D A G C A W Y,0
S N N D V A S Q L G I F K R H D D M P V S V R Y D S P E F S G F S G S V Q F V P A Q N S K S A Y T P A H F V Q Q T P K S Q P T L V P A V V G K P G S D V Y Y A G L,0
G K R G A R G E P G G V G P I G P P G E R G A P G N R G F P G Q D G L A G P K G A P G E R G P S G L A G P K G A N G D P G R P G E P G L P G A R G L T G R P G D A,0
L H C L K M Q M R I S K Y T K C L Q A Q I A I T V P K T W K K P K D R T R T T E E M L E A E L E L K A E E E L S I D K V L E S E Q D K M S Q G F H P E R D P S D L,0
S S P D S L A P S T L R S L R K R R L S S P Q G P S T L N P I C Q S P P V S P P R C D F A N R S V Y P P W A T E S P I Y V G S S S D G D T P P R Q P P T S P I S I,0
S C S A S C V P H G A K D T E W R S V T L P R D L Q S T G R Q F D S S T F G G H K S E K P A L P R K R A G E N R S D Q V T R G T V T P P P R L V K K N E E A A D E,0
F N S S L E T W N L I A D K Q D S L I Q C A D F R N C L T S Q D T L G S M G P L A L T Q G R N L S A G R L A S R L S S T P H H L Q Q G M T L A F L E N Q L S S A L,0
N L H T Q L V D M S M T Y G Q Q F G P T Y L D G A D V T K I K P H V N H E G K T F F V L P S D D T L R S E A F E Y Y H T L D E S F L G R Y M S A L N H T K K W K F,0
L K D Q Q L L G I W G C S G K L I C T T N V P W N A S W S N K S L T K I W D N M T W M Q W E R E I D N Y T D L I Y D L L E K S Q T Q Q E K N E Q E L L E L D K W A,0
